Date,Price
"January 1, 2024","10"
"the second of January 2024","twelve dollars"
"03/01/2024","15 USD"
"4th January 2024","9.50"
"January 5th","ten and a half dollars"
"06-01-2024","14"
"the 7th of January","13.75"
"08 January 2024","fourteen dollars"
"9th Jan","12.50"
"the tenth of January, 2024","11"
"11-Jan-2024","12.25 USD"
"12th of January 2024","13"
"13/01/24","twelve and a half dollars"
"January 14, '24","14.25"
"the fifteenth of Jan","fifteen dollars"
"16th January 2024","10"
"17-Jan-2024","9.75"
"18th of January","eleven dollars"
"19 January 2024","10.25"
"20-Jan","13.50 USD"
"the twenty-first of January","12"
"22nd January","13.75"
"23-01-2024","14.50"
"the twenty-fourth of January","15"
"25th Jan 2024","14.25"
"26 January","thirteen dollars"
"27th of January, 2024","10.75"
"28/01/2024","11.50"
"29-Jan-2024","12.75"
"the thirtieth of Jan","13"
"31 January 2024","14"
"01-February-2024","ten dollars"
"2nd of February","11.50"
"the third of February 2024","12"
"04/02/2024","13.25"
"5 February","14.75"
"06-Feb-2024","15"
"the seventh of February","12.50"
"8th Feb 2024","eleven and a half dollars"
"09-02-2024","13"
"10 February 2024","13.75"
"the eleventh of February","fourteen dollars"
"12 Feb","15.25"
"13/02/24","12"
"the fourteenth of February","13.50"
"15-February-2024","14.25"
"16th February","fifteen dollars"
"17-Feb-2024","12.75"
"the eighteenth of February","13"
"19 February 2024","13.50"
"20-Feb","fourteen and a half dollars"
"the twenty-first of February","15"
"22nd February 2024","14.25"
"23-02-2024","13"
"the twenty-fourth of February","12.75"
"25th Feb","11.50"
"26 February 2024","10.25"
"27-Feb-2024","ten dollars"
"the twenty-eighth of February","12"
"29/02/2024","14"
"01-Mar-2024","15.25"
"the second of March","14.75"
"3rd March 2024","13"
"04/03/2024","11.50"
"5 March 2024","twelve and a half dollars"
"6th March","13.75"
"07-Mar","14.25"
"8th of March","15"
"the ninth of March 2024","12"
"10 March 2024","thirteen dollars"
"11th Mar","14"
"12/03/2024","12.75"
"the thirteenth of March","11"
"14 Mar 2024","13.50"
"15 March","fifteen dollars"
"16-Mar-2024","14"
"the seventeenth of March","fourteen and a quarter dollars"
"18th March","12.25"
"19-Mar-2024","11.75"
"20 March","ten dollars"
"21-Mar-2024","13"
"the twenty-second of March","13.75"
"23 March 2024","15"
"24-Mar","14.50"
"25th of March","14.75"
"26-Mar-2024","14"
"27 March 2024","12.50"
"28-Mar-2024","11.25"
"the twenty-ninth of March","10"
"30 March 2024","9.75"
"31/03/2024","13.50"
